,tissue,cell_type_2
199,Bladder,bladder urothelial cell
3087,Kidney,collecting duct epithelial cell
4573,Large_Intestine,enterocyte
5178,Limb_Muscle,endothelial cell
5537,Limb_Muscle,mesenchymal stem cell
6557,Lung,adventitial cell
6981,Lung,smooth muscle cell
7913,Lymphoid,naive T cell
7677,Lymphoid,immature T cell
8393,Mammary_Gland,endothelial cell
8620,Mammary_Gland,luminal epithelial cell of mammary gland
8177,Mammary_Gland,basal cell
8790,Mammary_Gland,macrophage
8875,Mammary_Gland,stromal cell
9037,Myeloid,granulocyte
9613,Myeloid,myloid progenitor
