,Gene,Count,p value,q value,Cell
0,2410004N09Rik,3,9.648990495492171e-10,9.194109514990398e-08,endothelial
1,Lyz1,3,9.648990495492171e-10,9.194109514990398e-08,endothelial
2,Zbp1,3,9.648990495492171e-10,9.194109514990398e-08,endothelial
3,Entpd4,3,9.648990495492171e-10,9.194109514990398e-08,endothelial
4,AA467197,3,9.648990495492171e-10,9.194109514990398e-08,endothelial
5,Cdkn2a,3,9.648990495492171e-10,9.194109514990398e-08,endothelial
6,4930572J05Rik,3,9.648990495492171e-10,9.194109514990398e-08,endothelial
7,Ciita,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
8,D14Ertd449e,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
9,Hbb-b2,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
10,Gtpbp6,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
11,Pcgf2,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
12,G0s2,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
13,A530032D15Rik,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
14,Rpgrip1,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
15,Serf1,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
16,Tnf,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
17,Isoc2a,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
18,Meis3,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
19,Gvin1,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
20,Ppbp,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
21,1110038B12Rik,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
22,Cxcl13,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
23,Gdap10,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
24,H2-T10,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
25,Lix1l,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
26,Timm8a1,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
27,Pf4,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
28,Hba-a1,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
29,Plac9,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
30,Kdm5d,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
31,Ntrk3,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
32,Gpm6a,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
33,Slc45a3,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
34,Atf5,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
35,Cmbl,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
36,Ngb,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
37,Haghl,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
38,2610019E17Rik,2,1.063115929067493e-06,1.818200832533379e-05,endothelial
39,Saa3,3,2.220446049250313e-16,3.33510996597397e-13,fibroblast
40,Vsig4,3,2.220446049250313e-16,1.667554982986985e-13,fibroblast
41,Hbb-b1,3,2.220446049250313e-16,1.1117033219913235e-13,fibroblast
42,Csf2rb2,3,2.220446049250313e-16,8.337774914934926e-14,fibroblast
43,Lyz1,3,2.220446049250313e-16,6.67021993194794e-14,fibroblast
44,Slfn2,3,2.220446049250313e-16,5.558516609956617e-14,fibroblast
45,Hba-a1,3,2.220446049250313e-16,4.7644428085342435e-14,fibroblast
46,Ccl9,3,2.220446049250313e-16,4.168887457467463e-14,fibroblast
47,Cd300lg,3,2.220446049250313e-16,3.705677739971078e-14,fibroblast
48,Lrg1,3,2.220446049250313e-16,3.33510996597397e-14,fibroblast
49,Cldn5,3,2.220446049250313e-16,3.031918150885427e-14,fibroblast
50,Myct1,3,2.220446049250313e-16,2.7792583049783086e-14,fibroblast
51,Gjb5,3,2.220446049250313e-16,2.5654692045953616e-14,fibroblast
52,Gpr182,3,2.220446049250313e-16,2.3822214042671217e-14,fibroblast
53,Cdh13,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
54,Lypd3,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
55,Irf6,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
56,Samsn1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
57,Barx2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
58,Ncf4,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
59,Krt84,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
60,Ms4a1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
61,Spint1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
62,Ccl17,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
63,Krt35,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
64,Trim29,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
65,Cd79a,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
66,Fgd2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
67,C1qa,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
68,Ncf1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
69,Kalrn,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
70,Ngp,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
71,Dph1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
72,Susd3,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
73,F10,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
74,Enc1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
75,Elac2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
76,Cd2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
77,Apol9b,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
78,Cd68,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
79,Gm4902,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
80,Fcrls,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
81,Esam,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
82,Lilrb4,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
83,Lrrc25,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
84,Plbd1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
85,Notch3,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
86,Them5,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
87,Pilra,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
88,Gm12250,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
89,Itgb7,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
90,Prss34,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
91,Stab1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
92,Vtn,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
93,Cyp4f18,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
94,Cxcr6,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
95,C5ar1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
96,Mmp24,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
97,Rorb,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
98,Nefm,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
99,I830012O16Rik,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
100,8430408G22Rik,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
101,Niacr1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
102,9530082P21Rik,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
103,Il2rg,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
104,Bcl2a1d,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
105,Serpinb2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
106,Krt23,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
107,Aldh3b2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
108,Emcn,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
109,Beta-s,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
110,Slc4a4,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
111,Bcl11b,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
112,Cd79b,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
113,Hmha1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
114,Ncf2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
115,Sfpi1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
116,Ms4a3,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
117,Gpr171,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
118,Dynlt1a,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
119,Ampd3,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
120,Cd48,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
121,Syk,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
122,Inpp5d,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
123,Sla,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
124,Agpat2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
125,Gins2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
126,Laptm5,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
127,AB124611,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
128,AI662270,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
129,Rnf141,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
130,Lilrb3,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
131,Abcg1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
132,Sash3,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
133,Ptpn6,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
134,Lat2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
135,Etohd2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
136,Ifitm6,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
137,Itga4,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
138,Lyl1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
139,H2-Q6,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
140,Cdca8,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
141,Ms4a6d,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
142,Tnfrsf18,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
143,Nckap1l,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
144,Clec4a3,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
145,Rsad2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
146,C3ar1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
147,Krt13,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
148,Serpinb5,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
149,Cd36,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
150,Cd72,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
151,C1rb,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
152,H2-Ob,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
153,Rab25,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
154,Krt14,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
155,Cd274,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
156,Rac2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
157,Shpk,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
158,Abi3,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
159,Prrt1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
160,Aldh3b1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
161,Rnls,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
162,Aqp7,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
163,Alas2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
164,Fcna,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
165,Selplg,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
166,Gm9733,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
167,Fermt3,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
168,Txnl4b,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
169,Kif21b,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
170,Lad1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
171,H2-DMa,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
172,Igj,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
173,Espn,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
174,Krtdap,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
175,Acot10,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
176,Clec4a1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
177,Tgtp2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
178,Nppa,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
179,Gm5803,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
180,Pld4,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
181,Dmkn,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
182,Krt5,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
183,Cyp4b1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
184,Mlkl,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
185,Csf1r,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
186,Lgals7,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
187,Sox18,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
188,Asns,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
189,Lyve1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
190,Tymp,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
191,Pkp3,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
192,Ms4a7,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
193,Dusp5,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
194,Cfp,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
195,Alox5ap,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
196,Gpx2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
197,Il1b,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
198,4930599N23Rik,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
199,Ctss,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
200,Rtn4rl2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
201,Cldn4,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
202,Gna15,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
203,Agt,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
204,Krt6a,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
205,Ly6d,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
206,Fam26f,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
207,Elane,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
208,Faim3,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
209,Clec12a,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
210,Krt24,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
211,Cytip,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
212,Kdr,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
213,Krt16,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
214,S100a14,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
215,Areg,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
216,Myl7,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
217,Isl1,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
218,Lcp2,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
219,0610010O12Rik,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
220,Coro1a,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
221,Fyb,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
222,C1qc,2,1.156839027005585e-05,5.429913183007465e-05,fibroblast
