,tissue,cell_type_2,Class,gene,ending,gain,gene_count,cell_count,X,a_column,BH,nlogq
0,blood,nk cell,immune,IFNG,20.30427150380339,15.63501080341429,14,6,blood_immune,IFNGblood.nk cell,5e-08,7.301029995663981
1,blood,neutrophil,immune,CCL5,19.01066925315228,19.01066925315228,20,11,blood_immune,CCL5blood.neutrophil,5e-08,7.301029995663981
2,blood,t cell,immune,IGFBP2,15.84081154896605,14.315757082735109,21,8,blood_immune,IGFBP2blood.t cell,5e-08,7.301029995663981
3,blood,monocyte,immune,IL1B,13.8426379366634,10.72979746973733,11,11,blood_immune,IL1Bblood.monocyte,5e-08,7.301029995663981
4,blood,monocyte,immune,MMP9,12.76526281423441,11.35475697765853,11,16,blood_immune,MMP9blood.monocyte,5e-08,7.301029995663981
5,blood,monocyte,immune,CXCL1,12.602024159320921,8.030039723523261,11,6,blood_immune,CXCL1blood.monocyte,5e-08,7.301029995663981
6,blood,t cell,immune,IFNG,11.74404994147483,9.12967085650751,21,6,blood_immune,IFNGblood.t cell,5e-08,7.301029995663981
7,blood,monocyte,immune,SERPINB2,9.20666013712047,5.21833328887144,11,6,blood_immune,SERPINB2blood.monocyte,5e-08,7.301029995663981
8,blood,monocyte,immune,CCL3,8.61900097943192,5.55479864480157,11,16,blood_immune,CCL3blood.monocyte,5e-08,7.301029995663981
9,blood,memory b cell,immune,MMP9,8.61423220973782,7.8816314771370894,9,16,blood_immune,MMP9blood.memory b cell,0.00016510108536923665,3.7822500716898357
10,blood,neutrophil,immune,BCL2L1,8.53540252182347,8.53540252182347,20,6,blood_immune,BCL2L1blood.neutrophil,0.0008013565118267311,3.0961742296424535
11,blood,t cell,immune,MMP9,8.50565743269606,8.28779250894878,21,16,blood_immune,MMP9blood.t cell,5e-08,7.301029995663981
12,blood,nk cell,immune,MMP9,7.72381509654768,7.5292625673648,14,16,blood_immune,MMP9blood.nk cell,3.78265634390356e-07,6.422203112771696
13,blood,t cell,immune,GLB1,7.5692547795552,3.64768615210422,21,7,blood_immune,GLB1blood.t cell,0.00015482242521559715,3.810166133820936
14,blood,t cell,immune,CXCR2,7.17908700741318,6.30762731242408,21,7,blood_immune,CXCR2blood.t cell,9.287761246625107e-06,5.032088957202081
15,blood,naive b cell,immune,MMP9,7.1330589849108295,7.00251068203877,10,16,blood_immune,MMP9blood.naive b cell,9.209054135467769e-07,6.035784974020536
16,blood,monocyte,immune,CCL4,6.3010120796604605,3.7231910679873104,11,18,blood_immune,CCL4blood.monocyte,5e-08,7.301029995663981
17,blood,neutrophil,immune,IGFBP7,6.1105722599418,4.6974416685564995,20,8,blood_immune,IGFBP7blood.neutrophil,0.007962357877772266,2.098958306424268
18,blood,nk cell,immune,TIMP2,5.9684025746050295,2.85556210767896,14,11,blood_immune,TIMP2blood.nk cell,0.0018880155932894445,2.723994423146215
19,blood,neutrophil,immune,IL1B,5.62560620756547,5.62560620756547,20,11,blood_immune,IL1Bblood.neutrophil,0.001449821999665257,2.838685314529476
20,blood,nk cell,immune,CXCL8,5.32475131655939,4.15743614146211,14,9,blood_immune,CXCL8blood.nk cell,0.00029277760101795,3.533462152089078
21,blood,monocyte,immune,CXCL3,5.125693764283381,2.45059648801879,11,6,blood_immune,CXCL3blood.monocyte,9.51419977886541e-06,5.021627733518606
22,blood,t cell,immune,MMP25,4.99414748341787,3.03336316969237,21,6,blood_immune,MMP25blood.t cell,0.0011131451165730668,2.9534482146242502
23,blood,t cell,immune,CXCL8,4.91611392898946,3.39105946275852,21,9,blood_immune,CXCL8blood.t cell,0.00177329007508963,2.751220216623307
24,blood,neutrophil,immune,CCL4,4.84966052376333,4.84966052376333,20,18,blood_immune,CCL4blood.neutrophil,0.00011041682290651109,3.9569647532475143
25,blood,nk cell,immune,MMP25,4.739613809245171,3.5722986341478897,14,6,blood_immune,MMP25blood.nk cell,0.00026821735375655596,3.571513126570566
26,blood,t cell,immune,VEGFA,4.60397971127584,2.64319539755035,21,6,blood_immune,VEGFAblood.t cell,0.003061190657566663,2.5141096207618445
27,blood,naive b cell,immune,CCL3,4.526748971193411,3.74345915396104,10,16,blood_immune,CCL3blood.naive b cell,0.0006891442178036111,3.161689883401209
28,blood,monocyte,immune,MMP8,4.50538687561214,4.35947247872498,11,6,blood_immune,MMP8blood.monocyte,5e-08,7.301029995663981
