,Bladder.bladder cell,Bladder.endothelial cell,Brain.microglial cell,Diaphragm.mesenchymal stem cell,Diaphragm.skeletal muscle satellite cell,Fat.endothelial cell,Fat.mesenchymal stem cell,HSC.hematopoietic stem cell,Heart_and_Aorta.endocardial cell,Heart_and_Aorta.endothelial cell,Heart_and_Aorta.fibroblast,Heart_and_Aorta.myocyte,Heart_and_Aorta.smooth muscle cell,Kidney.Henle thick ascending limb epithelial cell,Kidney.collecting duct principal cell,Kidney.distal convoluted tubule epithelial cell,Kidney.epithelial cell of proximal tubule,Kidney.fenestrated cell,Kidney.macrophage,Kidney.podocyte,Kidney.proximal convoluted tubule epithelial cell,Large_Intestine.epithelial cell ,Large_Intestine.goblet cell,Large_Intestine.secretory cell,Limb_Muscle.macrophage,Limb_Muscle.smooth muscle cell,Liver.Kupffer cell,Liver.endothelial cell of hepatic sinusoid,Liver.hepatocyte,Lung.alveolar macrophage,Lung.fibroblast,Lymphoid.B cell,Lymphoid.NK cell,Lymphoid.T cell,Myeloid.macrophage,Myeloid.monocyte,Pancreas.pancreatic A cell,Thymus.thymocyte,Tongue.basal cell ,Tongue.keratinocyte,Trachea.basal cell ,Trachea.fibroblast,Trachea.macrophage
Rspo1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Me3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clic3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Slpi,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Cdh3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prlr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hoxc6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcnxl2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wt1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dpp4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Podxl,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Msln,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sgcd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
