,tissue,cell_type_2,Class,gene,ending,gain,gene_count,cell_count,X,a_column,BH,nlogq
0,Bladder,bladder urothelial cell,epithelial,Ccl8,6.79205851619644,5.7282287289624,7,20,Bladder_epithelial,Ccl8Bladder.bladder urothelial cell,5e-08,7.301029995663981
1,Bladder,bladder urothelial cell,epithelial,Ccl5,5.60780215952629,5.07588726590927,7,20,Bladder_epithelial,Ccl5Bladder.bladder urothelial cell,5e-08,7.301029995663981
2,Bladder,bladder cell,parenchymal,Ccl11,5.98540145985401,5.82641894793032,12,9,Bladder_parenchymal,Ccl11Bladder.bladder cell,3.992595048629532e-05,4.3987447361527945
3,Bladder,bladder cell,parenchymal,Ifi204,5.25547445255474,4.77852691678367,12,6,Bladder_parenchymal,Ifi204Bladder.bladder cell,2.3485853227232536e-05,4.629193657531069
4,Bladder,bladder cell,parenchymal,Ccl5,4.817518248175181,4.1815882004804195,12,20,Bladder_parenchymal,Ccl5Bladder.bladder cell,1.565723548482169e-05,4.80528491658675
5,Diaphragm,mesenchymal stem cell,progenitor,Il1b,16.0377358490566,13.56860004658746,17,18,Diaphragm_progenitor,Il1bDiaphragm.mesenchymal stem cell,5e-08,7.301029995663981
6,Diaphragm,mesenchymal stem cell,progenitor,Cxcl13,14.62264150943396,13.79959624194425,17,19,Diaphragm_progenitor,Cxcl13Diaphragm.mesenchymal stem cell,5e-08,7.301029995663981
7,Diaphragm,skeletal muscle satellite cell,progenitor,Cxcl13,11.66666666666666,10.30612244897959,19,19,Diaphragm_progenitor,Cxcl13Diaphragm.skeletal muscle satellite cell,5e-08,7.301029995663981
8,Diaphragm,mesenchymal stem cell,progenitor,Ccl9,10.84905660377358,9.202966068794161,17,13,Diaphragm_progenitor,Ccl9Diaphragm.mesenchymal stem cell,5e-08,7.301029995663981
9,Diaphragm,mesenchymal stem cell,progenitor,Cxcr2,9.90566037735849,9.08261510986877,17,6,Diaphragm_progenitor,Cxcr2Diaphragm.mesenchymal stem cell,5e-08,7.301029995663981
10,Diaphragm,skeletal muscle satellite cell,progenitor,Ccl9,9.72222222222222,6.77437641723356,19,13,Diaphragm_progenitor,Ccl9Diaphragm.skeletal muscle satellite cell,5e-08,7.301029995663981
11,Diaphragm,skeletal muscle satellite cell,progenitor,Il1b,9.72222222222222,6.5476190476190395,19,18,Diaphragm_progenitor,Il1bDiaphragm.skeletal muscle satellite cell,5e-08,7.301029995663981
12,Diaphragm,mesenchymal stem cell,progenitor,Csf2rb,8.96226415094339,8.55074151719854,17,15,Diaphragm_progenitor,Csf2rbDiaphragm.mesenchymal stem cell,5e-08,7.301029995663981
13,Diaphragm,skeletal muscle satellite cell,progenitor,Ccl19,8.888888888888879,7.3015873015873005,19,6,Diaphragm_progenitor,Ccl19Diaphragm.skeletal muscle satellite cell,5e-08,7.301029995663981
14,Diaphragm,skeletal muscle satellite cell,progenitor,Mmp23,8.611111111111109,6.570294784580499,19,10,Diaphragm_progenitor,Mmp23Diaphragm.skeletal muscle satellite cell,5e-08,7.301029995663981
15,Diaphragm,skeletal muscle satellite cell,progenitor,Cxcr2,7.5,6.81972789115646,19,6,Diaphragm_progenitor,Cxcr2Diaphragm.skeletal muscle satellite cell,5e-08,7.301029995663981
16,Diaphragm,mesenchymal stem cell,progenitor,Ccl19,7.0754716981132,6.25242643062349,17,6,Diaphragm_progenitor,Ccl19Diaphragm.mesenchymal stem cell,5e-08,7.301029995663981
17,Diaphragm,skeletal muscle satellite cell,progenitor,Csf2rb,5.83333333333333,3.5657596371882,19,15,Diaphragm_progenitor,Csf2rbDiaphragm.skeletal muscle satellite cell,0.010708817552841221,1.9702584804871615
18,Diaphragm,skeletal muscle satellite cell,progenitor,Mmp12,3.05555555555555,2.8287981859410403,19,7,Diaphragm_progenitor,Mmp12Diaphragm.skeletal muscle satellite cell,0.02348110643983264,1.6292814427995286
19,Diaphragm,skeletal muscle satellite cell,progenitor,Ccl3,2.77777777777777,2.09750566893424,19,12,Diaphragm_progenitor,Ccl3Diaphragm.skeletal muscle satellite cell,0.04632185677188085,1.3342140406100644
20,Fat,endothelial cell,endothelial,Tnf,12.288786482334869,7.7895121717398,9,8,Fat_endothelial,TnfFat.endothelial cell,5e-08,7.301029995663981
21,Fat,endothelial cell,endothelial,Ccl11,11.05990783410138,7.72173657140181,9,9,Fat_endothelial,Ccl11Fat.endothelial cell,5e-08,7.301029995663981
22,Fat,endothelial cell,endothelial,Ccl7,8.14132104454685,4.94828766283422,9,15,Fat_endothelial,Ccl7Fat.endothelial cell,5.308495746742758e-05,4.275028526270803
23,Fat,endothelial cell,endothelial,Ccl8,7.21966205837173,6.49397265343704,9,20,Fat_endothelial,Ccl8Fat.endothelial cell,5e-08,7.301029995663981
24,Fat,endothelial cell,endothelial,Cdkn2b,3.68663594470046,3.2512223017396398,9,16,Fat_endothelial,Cdkn2bFat.endothelial cell,0.001106317971357812,2.956120032742682
25,Fat,endothelial cell,endothelial,Ccl19,1.84331797235023,1.69818009136329,9,6,Fat_endothelial,Ccl19Fat.endothelial cell,0.0186135996554317,1.73016963120465
26,Fat,endothelial cell,endothelial,Cdkn2a,1.53609831029185,1.39096042930492,9,19,Fat_endothelial,Cdkn2aFat.endothelial cell,0.03223871100365081,1.4916223308617602
27,Fat,mesenchymal stem cell,progenitor,Tgfb1,14.264036418816389,9.901779424980441,4,6,Fat_progenitor,Tgfb1Fat.mesenchymal stem cell,5e-08,7.301029995663981
28,Fat,mesenchymal stem cell,progenitor,Ccl4,3.49013657056145,2.2573248114339,4,9,Fat_progenitor,Ccl4Fat.mesenchymal stem cell,0.001359206051068582,2.86671470069298
29,Fat,mesenchymal stem cell,progenitor,Cdkn2a,1.97268588770864,1.26144833436583,4,19,Fat_progenitor,Cdkn2aFat.mesenchymal stem cell,0.018019188791308333,1.7442647644883957
