,Gene,Count,p value,q value
0,Hba-a1,29,0.0,0.0
1,Hbb-b1,20,0.0,0.0
2,Gm11428,19,0.0,0.0
3,Vsig4,18,0.0,0.0
4,Saa3,18,0.0,0.0
5,Cxcl13,17,0.0,0.0
6,Igj,17,0.0,0.0
7,Hbb-b2,15,0.0,0.0
8,Elane,15,0.0,0.0
9,Fcna,15,0.0,0.0
10,Slpi,14,3.3306690738754696e-16,2.920391201593537e-13
11,Ccl5,13,1.554312234475219e-14,9.36958843844593e-12
12,Lilrb4,13,1.554312234475219e-14,9.36958843844593e-12
13,Gp49a,13,1.554312234475219e-14,9.36958843844593e-12
14,Pf4,13,1.554312234475219e-14,9.36958843844593e-12
15,H2-Q8,13,1.554312234475219e-14,9.36958843844593e-12
16,AA467197,12,4.982680934517703e-13,2.1844526187919655e-10
17,Kcnj8,12,4.982680934517703e-13,2.1844526187919655e-10
18,C130026I21Rik,12,4.982680934517703e-13,2.1844526187919655e-10
19,Lyz1,12,4.982680934517703e-13,2.1844526187919655e-10
20,Ms4a6d,12,4.982680934517703e-13,2.1844526187919655e-10
21,Snca,12,4.982680934517703e-13,2.1844526187919655e-10
22,Cdkn2a,11,1.3858025837976129e-11,3.612450248845399e-09
23,Il1b,11,1.3858025837976129e-11,3.612450248845399e-09
24,Cybb,11,1.3858025837976129e-11,3.612450248845399e-09
25,Tnfrsf13c,11,1.3858025837976129e-11,3.612450248845399e-09
26,Ltb,11,1.3858025837976129e-11,3.612450248845399e-09
27,Ncf4,11,1.3858025837976129e-11,3.612450248845399e-09
28,Cxcr3,11,1.3858025837976129e-11,3.612450248845399e-09
29,Bcl2a1b,11,1.3858025837976129e-11,3.612450248845399e-09
30,Napsa,11,1.3858025837976129e-11,3.612450248845399e-09
31,Cyp4f18,11,1.3858025837976129e-11,3.612450248845399e-09
32,Csf2rb2,11,1.3858025837976129e-11,3.612450248845399e-09
33,Ms4a4b,11,1.3858025837976129e-11,3.612450248845399e-09
34,Prtn3,11,1.3858025837976129e-11,3.612450248845399e-09
35,2010001M09Rik,11,1.3858025837976129e-11,3.612450248845399e-09
36,Serpina3g,11,1.3858025837976129e-11,3.612450248845399e-09
37,H2-Q6,10,3.344591270604269e-10,5.561824621547961e-08
38,Bcl2a1d,10,3.344591270604269e-10,5.561824621547961e-08
39,Ramp3,10,3.344591270604269e-10,5.561824621547961e-08
40,Rgs1,10,3.344591270604269e-10,5.561824621547961e-08
41,Lrg1,10,3.344591270604269e-10,5.561824621547961e-08
42,Hba-a2,10,3.344591270604269e-10,5.561824621547961e-08
43,Gm7609,10,3.344591270604269e-10,5.561824621547961e-08
44,2200002D01Rik,10,3.344591270604269e-10,5.561824621547961e-08
45,Cd3g,10,3.344591270604269e-10,5.561824621547961e-08
46,Ltb4r1,10,3.344591270604269e-10,5.561824621547961e-08
47,Csprs,10,3.344591270604269e-10,5.561824621547961e-08
48,Ms4a6c,10,3.344591270604269e-10,5.561824621547961e-08
49,Lcn2,10,3.344591270604269e-10,5.561824621547961e-08
50,Fgr,10,3.344591270604269e-10,5.561824621547961e-08
51,Plscr2,10,3.344591270604269e-10,5.561824621547961e-08
52,Mnda,10,3.344591270604269e-10,5.561824621547961e-08
53,Ms4a7,10,3.344591270604269e-10,5.561824621547961e-08
54,Cfp,10,3.344591270604269e-10,5.561824621547961e-08
55,Alas2,10,3.344591270604269e-10,5.561824621547961e-08
56,Slfn2,10,3.344591270604269e-10,5.561824621547961e-08
57,Lat,10,3.344591270604269e-10,5.561824621547961e-08
58,1810033B17Rik,9,6.960487741736188e-09,7.992131460600658e-07
59,Fpr1,9,6.960487741736188e-09,7.992131460600658e-07
60,Gpr18,9,6.960487741736188e-09,7.992131460600658e-07
61,Cd72,9,6.960487741736188e-09,7.992131460600658e-07
62,Timp4,9,6.960487741736188e-09,7.992131460600658e-07
63,Cd5l,9,6.960487741736188e-09,7.992131460600658e-07
64,Traf1,9,6.960487741736188e-09,7.992131460600658e-07
65,Ccl7,9,6.960487741736188e-09,7.992131460600658e-07
66,Myct1,9,6.960487741736188e-09,7.992131460600658e-07
67,Atp6v0c-ps2,9,6.960487741736188e-09,7.992131460600658e-07
68,Penk,9,6.960487741736188e-09,7.992131460600658e-07
69,Cebpe,9,6.960487741736188e-09,7.992131460600658e-07
70,H2-DMb1,9,6.960487741736188e-09,7.992131460600658e-07
71,Nkg7,9,6.960487741736188e-09,7.992131460600658e-07
72,Clec4n,9,6.960487741736188e-09,7.992131460600658e-07
73,Il6,9,6.960487741736188e-09,7.992131460600658e-07
74,Ms4a1,9,6.960487741736188e-09,7.992131460600658e-07
75,Vwf,9,6.960487741736188e-09,7.992131460600658e-07
76,H2-DMb2,9,6.960487741736188e-09,7.992131460600658e-07
77,Cd163,9,6.960487741736188e-09,7.992131460600658e-07
78,Ecscr,9,6.960487741736188e-09,7.992131460600658e-07
79,A430084P05Rik,9,6.960487741736188e-09,7.992131460600658e-07
80,Cd7,9,6.960487741736188e-09,7.992131460600658e-07
81,Ccl3,9,6.960487741736188e-09,7.992131460600658e-07
82,Cd40,9,6.960487741736188e-09,7.992131460600658e-07
83,Gimap3,9,6.960487741736188e-09,7.992131460600658e-07
84,Csf2rb,8,1.2392720127873957e-07,8.919984002488382e-06
85,Aif1,8,1.2392720127873957e-07,8.919984002488382e-06
86,1700112E06Rik,8,1.2392720127873957e-07,8.919984002488382e-06
87,Rorb,8,1.2392720127873957e-07,8.919984002488382e-06
88,Ccl17,8,1.2392720127873957e-07,8.919984002488382e-06
89,Hp,8,1.2392720127873957e-07,8.919984002488382e-06
90,C4b,8,1.2392720127873957e-07,8.919984002488382e-06
91,Emcn,8,1.2392720127873957e-07,8.919984002488382e-06
92,Ccl9,8,1.2392720127873957e-07,8.919984002488382e-06
93,Ifi47,8,1.2392720127873957e-07,8.919984002488382e-06
94,S1pr4,8,1.2392720127873957e-07,8.919984002488382e-06
95,Zc3h12d,8,1.2392720127873957e-07,8.919984002488382e-06
96,Naip2,8,1.2392720127873957e-07,8.919984002488382e-06
97,Grrp1,8,1.2392720127873957e-07,8.919984002488382e-06
98,Ccl8,8,1.2392720127873957e-07,8.919984002488382e-06
99,Asns,8,1.2392720127873957e-07,8.919984002488382e-06
